company_name,url,found_count,priority,snippet,discovery_query
ALLCITY Network,https://www.allcitynetwork.com,2,medium,"Denver, Colorado - Digital media and internet radio platform that raised $12M in Series B funding in August 2024, backed by Bullpen Capital and Tegna",Find Colorado tech startups that raised venture capital funding recently
Alpin,https://www.alpinemediatech.com,1,medium,"Colorado-based startup, portfolio company of Rockies Venture Club",Find Colorado startups funded by Rockies Venture Club members
Alpine IQ,https://www.alpineiq.com,2,medium,"Broomfield-based software company specializing in customer data management and omnichannel consumer experience solutions, with over 16,000% revenue growth since 2020[1][3].",Find privately held Colorado companies with rapid revenue growth since 2020
Alta Resource Technologies,https://altatech.io,1,medium,"Founded 2023, Colorado mining technology company developing next-generation mineral separation technology",Find Colorado startups with less than 10 employees and VC interest
Althea,https://www.altheahealth.com,1,medium,"Colorado health tech startup focused on improving healthcare delivery, recently funded (Seed round, but closely adjacent to Series A)[1].",Find Colorado healthcare tech companies with Series A funding
Altia,https://www.altia.com,1,medium,"Provides graphical user interface (GUI) development tools for embedded systems, founded by engineers and backed by investors; serves automotive and medical device industries[4].",Find Colorado Springs startups with technical founders and investor backing
Altira Group,https://www.altiragroup.com,4,medium,"Venture capital firm specializing in technology and software companies driving enterprise digital transformation, with a strong focus on energy technology[3].",Find Colorado venture capital investors and the companies they've funded
Ambrosia Biosciences,https://www.ambrosiatherapeutics.com,1,medium,"Biotechnology company focused on drug discovery and development, with operations in Boulder, Colorado; Boulder Ventures participated in its Series A funding[3].",Find Boulder Ventures Colorado portfolio companies with founders and CEOs
Amoofy,https://www.amoofy.com,4,medium,Electronics and Wearables company that raised $305K in seed funding,Find Colorado startups that raised less than 5 million in seed funding
AMP Robotics,https://www.amprobotics.com,1,medium,"Robotics and AI company based in Longmont, specializing in intelligent recycling systems using computer vision and machine learning, with multiple funding rounds and rapid scaling[8].",Find Longmont Colorado startups with rapid growth and funding rounds
Amperon,https://www.amperon.co,1,medium,"Company founded in 2017 by Abe Stanway, focused on energy optimization",Find Blackhorn Ventures Colorado portfolio companies
Ampersand,https://www.ampersand.energy,1,medium,"Provides AI-driven energy management solutions for commercial buildings, leveraging advanced data science and IoT. Founded in 2021 in Colorado, Ampersand has secured venture funding for its deep tech ",Find DeepTech startups in Colorado with venture capital funding founded since 2020
AOA Dx,https://aoadx.com,1,medium,"Develops cancer diagnostics, focusing on early detection of ovarian cancer; raised Series B funding in 2023[5].",Find Colorado companies that raised Series B or Series C funding in the last 5 years
AOTO COIN,https://www.aotocoin.com,3,medium,"Recruiting and B2B software company that raised $25,000,000 in Series A funding",Find Colorado companies that raised Series A funding since 2020
Aperia Technologies,https://aperiatech.com,1,medium,"Develops automatic tire inflation systems and analytics for commercial vehicle fleets, improving safety, fuel efficiency, and tire life[3][7].",Find Blackhorn Ventures Colorado portfolio companies
AppIt Ventures,https://www.appitventures.com,1,medium,Custom software development firm; consistently growing and serving a diverse client base[4].,Find Colorado private companies with strong growth metrics and VC backing
AppOmni,https://appomni.com,1,medium,"Founded in 2018 in Basalt, Colorado, SaaS security solution company, raised over $123 million, now based in San Francisco",Find Colorado hardware and software technology companies with technical founders
Aqueous Resources,https://www.aqueousresources.com,2,medium,Denver startup focused on water technology solutions. Recognized among fastest-growing Denver startups indicating strong market demand and growth trajectory.,Find Colorado tech companies in early growth stage with product-market fit
Arctic Wolf Networks,https://arcticwolf.com,1,medium,"Denver-based cybersecurity platform using machine learning for risk management and task analysis, raised $899.3M across 10 funding rounds","Find Colorado startups in AI, robotics, biotech, cleantech with rapid growth and VC backing"
Array BioPharma (acquired by Pfizer),https://www.pfizer.com/science/oncology/array-biopharma,1,medium,Formerly an independent biotech company specializing in the discovery and development of targeted small molecule drugs; acquired by Pfizer for $11.8 billion[7].,Find Boulder Ventures Colorado portfolio companies with founders and CEOs
Arryved,https://www.arryved.com,1,medium,"Delivers a point-of-sale and guest experience platform tailored for craft beverage and hospitality businesses, streamlining operations and customer engagement[1].",Find current Endeavor Colorado entrepreneur companies and their founders
Arta,https://www.artafinance.com,1,medium,Financial services or fintech company in early-stage portfolio,Find V1 Ventures Colorado portfolio companies
Arzeda,https://www.arzeda.com,1,medium,"Boulder-based biotechnology and software company designing custom microorganisms for industrial applications through computational enzyme design, raised $72.2M across 5 funding rounds","Find Colorado startups in AI, robotics, biotech, cleantech with rapid growth and VC backing"
Ascent Deep Tech Accelerator (Venture Partners at CU Boulder),https://www.colorado.edu/venturepartners/opportunities-and-events/ascent-deep-tech-accelerator,3,medium,"Accelerator supporting research teams and deep tech startups from University of Colorado campuses, helping them commercialize engineering and scientific innovations[3].",Find Colorado VCs with investments in DeepTech and high-growth startups
Ascent360,https://ascent360.com,1,medium,"Cloud-based customer data platform for marketers to unify, analyze, and activate customer data[1][11].",Find Access Venture Partners Colorado portfolio companies
Atom Computing,https://atom-computing.com,1,medium,"Develops scalable quantum computers using neutral atoms, with headquarters in Boulder, Colorado. Atom Computing has raised significant venture capital and is a leading deep tech startup in quantum tec",Find DeepTech startups in Colorado with venture capital funding founded since 2020
Aumni,https://www.aumni.fund,1,medium,Investment analytics company that monitors economic position and legal rights of investments,Find Blackhorn Ventures Colorado portfolio companies
Aurelius Systems,https://aureliussystems.com,1,medium,Aerospace company that secured $10 million in Seed funding in September 2025.,Find Colorado aerospace and aviation tech startups with funding
Aurora Innovation,https://aurora.tech,1,medium,"Autonomous vehicles company that raised $820M Series D funding in July 2025, led by Sequoia Capital, with a $15B valuation.",Find Aurora Colorado tech companies with funding
Automox,https://www.automox.com,2,medium,"Delivers cloud-native IT operations and endpoint management solutions; headquartered in Boulder, Colorado, with significant venture backing[3][7][15].",Find Colorado entrepreneur profiles with company names and funding details
Backbone PLM,https://www.backbone-pml.com,1,medium,"Boulder, Colorado-based company founded in 2014",Find Grotech Ventures Colorado investments
Backflip,https://backflip.com,12,medium,"Real estate and investing platform that raised $15,000,000 in Series A funding",Find Colorado companies that raised Series A funding since 2020
Beemmunity,https://beemmunity.com,1,medium,Develops solutions to protect bees from pesticides using ingestible micro-particles; raised Series B funding[13].,Find Colorado companies that raised Series B or Series C funding in the last 5 years
Bench,https://bench.co,1,medium,"Delivers online bookkeeping and accounting services for small businesses, combining software with human bookkeepers[9].",Find Techstars Boulder portfolio companies and their founders
Beyond Copper,URL_NEEDED,1,medium,Makes safe copper surfaces and powders with antimicrobial properties. Affiliation: Colorado School of Mines,Find Colorado pre-seed startups founded in 2023 2024 with angel investors
Bifrost Electronics,https://www.bifrostelectronics.com,1,medium,"Quantum readout startup developing magnetically insensitive quantum amplifiers (Seed funding: $2.5 million, July 2025)",Find Colorado companies founded in 2023 with seed funding
BiggerPockets,https://www.biggerpockets.com,1,medium,"Online community for real estate investing founded in 2004 with over 1 million members and successful podcast, generating significant revenue without venture capital",Find bootstrapped Colorado startups with early revenue and rapid growth
BillGO,https://billgo.com,2,medium,"Offers a real-time bill payments platform designed to modernize bill payments for financial institutions, fintechs, and consumers, improving speed and transparency[3].",Find current Endeavor Colorado entrepreneur companies and their founders
BillingPlatform,https://billingplatform.com,1,medium,"Provides cloud-based billing and revenue management software for enterprises, supporting complex billing models and automation[1][3][5].",Find Colorado enterprise software companies with rapid growth
Biodesix,https://www.biodesix.com,2,medium,"Provides diagnostic solutions for lung disease, including blood-based tests for cancer and other conditions[3].",Find the top 100 companies on Colorado Startups leaderboard at coloradostartups.org
Biofire,https://www.biofiretech.com,1,medium,"Develops biometric firearm technology to enhance gun safety, offering smart guns that only authorized users can fire. Based in Colorado[5].",Find Colorado startup founders based in Colorado with company information
BITKRAFT Ventures,https://bitkraft.vc,1,medium,"A Denver-based firm founded in 2017 specializing in gaming and emerging technologies, particularly Synthetic Reality investments.",Find Denver Boulder venture capital firms and their portfolio company CEOs
Bitsbox,https://www.bitsbox.com,1,medium,"Colorado-based software startup, portfolio company of Rockies Venture Club",Find Colorado startups funded by Rockies Venture Club members
Blackhorn Ventures,https://www.blackhornventures.com,1,medium,"Early-stage venture firm investing in capital-efficient companies focused on decarbonization in transportation, built environment, supply chain, and energy sectors.",Find venture capital firms based in Colorado and their portfolio companies
Blackpoint Cyber,https://www.blackpointcyber.com,2,medium,Cybersecurity company delivering managed detection and response services to protect organizations from cyber threats[3].,Find the top 100 companies on Colorado Startups leaderboard at coloradostartups.org
Blaze Energy Technologies LLC,https://blazeenergytech.com,1,medium,Develops catalytic reforming technology for H2/NH3 fuel production. Affiliation: Colorado School of Mines,Find Colorado pre-seed startups founded in 2023 2024 with angel investors
Blazy Susan,https://www.blazysusan.com,1,medium,Denver-based accessories company for cannabis consumption. Previously ranked #2 on 2023 Inc. 5000 list.,Find privately held Colorado companies with rapid revenue growth since 2020
Blue Cubed LLC,https://www.bluecubed.net,1,medium,Develops optical communication systems for the small satellite market. Affiliation: University of Colorado Boulder,Find Colorado pre-seed startups founded in 2023 2024 with angel investors
Bluestaq,https://www.bluestaq.com,1,medium,"Develops advanced software systems for government and commercial clients, specializing in data management and integration; recognized as an emerging tech startup in Colorado Springs[6].",Find Colorado Springs startups with technical founders and investor backing
BlueSuit,https://bluesuit.com,1,medium,Real estate technology company providing AI-driven lease abstraction and data solutions; received $2.38M in seed funding and is backed by Techstars[11].,Find Colorado startups that received seed funding in the last 5 years
Bobo’s,https://eatbobos.com,1,medium,"Producer of wholesome oat bars and snacks, emphasizing simple ingredients and healthy eating[1][2][3][5].",Find Ridgeline Ventures Colorado investments
BoldHue,https://www.boldhue.com,1,medium,"Aurora, CO-based technology company.",Find Aurora Colorado tech companies with funding
BoltWise,https://getboltwise.com,7,medium,"Cloud computing and logistics company that raised $3,000,000 in seed funding in July 2024",Find Colorado seed stage companies that raised funding in the last 2 years
BombBomb,https://bombbomb.com,1,medium,"Colorado Springs software company specializing in personalized video messaging for business relationships, ranked among top startups",Find Colorado Springs startups with technical founders and investor backing
Bonafide Provisions,https://www.bonafideprovisions.com,1,medium,Producer of organic bone broths and wellness foods focused on gut health and nutrition[1][3].,Find Ridgeline Ventures Colorado investments
Bond Pet Foods,https://www.bondpets.com,4,medium,Biotechnology startup creating animal-free pet food proteins using cellular agriculture; received seed funding in the last five years[9].,Find Colorado startups that received seed funding in the last 5 years
Bonusly,https://bonus.ly,2,medium,Employee recognition and rewards platform designed to improve workplace engagement and culture[1][11].,Find Access Venture Partners Colorado portfolio companies
Boom Supersonic,https://boomsupersonic.com,4,medium,Develops supersonic commercial aircraft aiming to make high-speed air travel mainstream[3].,Find the top 100 companies on Colorado Startups leaderboard at coloradostartups.org
Boomtown Accelerators,https://www.boomtownaccelerators.com,1,medium,"Boulder-based accelerator offering mentorship and funding to early-stage startups across various industries, helping them refine business models and prepare for growth[5].",Find venture capital firms based in Colorado and their portfolio companies
Boulder Ventures,https://www.boulderventures.com,9,medium,"Focuses on information technology and biotechnology companies, providing capital to high-growth businesses in Colorado’s Front Range and the Mid-Atlantic region[3].",Find venture capital firms based in Colorado and their portfolio companies
Brandzooka,https://www.brandzooka.com,1,medium,"Self-serve digital advertising platform; founded by Aquiles La Grave, with investors such as Boulder Ventures and Baseline Ventures[5].",Find fast-growing startups in Boulder Colorado with founder names and investors
Break Trail Ventures,https://www.breaktrail.vc,1,medium,"Boulder-based early-stage VC investing in transformative founders. Portfolio includes CEOs like Matt Doria (CEO, Sana Benefits), and founders from companies such as Sana Benefits (CEO Matt Doria).",Find Denver Boulder venture capital firms and their portfolio company CEOs
Brightwave,https://brightwave.io,1,medium,"AI-powered platform for automating and optimizing business processes; raised Series A ($15M, 2024)[3].",Find Colorado DeepTech companies with Series A B C funding rounds in the last 5 years
Brisk Technologies,https://www.brisktech.co,1,medium,"Lakewood-based mobile app development company that secured $20 million in funding on September 25, 2024, to expand its team and services across healthcare, restaurant delivery, and human resources sec",Find Colorado companies that announced funding rounds in 2024
Buderflys,https://buderflys.com,1,medium,Audio technology startup developing innovative earbuds designed for comfort and sound quality; recently funded at the seed stage[11].,Find Colorado startups that received seed funding in the last 5 years
BurstIQ,https://www.burstiq.com,1,medium,"Offers blockchain-based data solutions for healthcare, enabling secure data exchange and analytics; founded by technologists and has received investor funding[4].",Find Colorado Springs startups with technical founders and investor backing
Burstverse AI,https://www.burstverse.ai,1,medium,"Founded in 2022, Burstverse AI automates DeFi and CeFi operations through a unified AI interface, focusing on financial technology innovation[7].",Find Denver Colorado tech startups founded since 2020 with VC funding
Buzz Solutions,https://www.buzzsolutions.co,1,medium,"Uses AI-based analytics and predictive insights to detect faults and inspect power lines, improving grid reliability and reducing wildfire risk[3][7].",Find Blackhorn Ventures Colorado portfolio companies
Caliola Engineering,https://www.caliola.com,2,medium,"Colorado Springs-based provider of mission-critical communications solutions for defense and government, with 71% revenue growth[5].",Find privately held Colorado companies with rapid revenue growth since 2020
Canopy Advisory Group Inc,https://www.canopyadvisory.com,1,medium,"On-demand talent firm in Denver with $7.7M revenue and 69% growth rate, 5 employees",Find Colorado high-growth companies with 100+ employees still private
CarbeniumTec LLC,https://www.carbeniumtec.com,1,medium,"Developing metal-free, all-organic batteries for long-duration energy storage. Affiliation: University of Arizona",Find Colorado pre-seed startups founded in 2023 2024 with angel investors
Carbon America,https://carbonamerica.com,1,medium,Carbon America focuses on carbon capture and sequestration technologies to help industries reduce their carbon footprint.,Find Colorado climate tech and sustainability startups with investors
Career Certified,https://www.careercertified.com,1,medium,"Colorado software company, 2023 Fast 500 winner, founded by Gary Weiss with deep technical and enterprise software background",Find Colorado hardware and software technology companies with technical founders
Caruso Ventures,https://carusoventures.com,1,medium,Caruso Ventures is a private investment firm focused on tech and high-growth companies. Founded by Dan Caruso[5].,Find companies selected by Endeavor Colorado with founder names and details
Cast,https://www.cast.com/,1,medium,Cast is a financial services startup providing innovative payment and transaction solutions for businesses and consumers.,Find Colorado companies that raised Series A funding since 2020
Ceros,https://www.ceros.com,1,medium,Cloud-based interactive content creation platform for marketers and designers,Find Grotech Ventures Colorado investments
Cheddar Up,https://www.cheddarup.com,1,medium,"Provides a platform for groups and organizations to collect payments and information online, simplifying group management and fundraising. Founded by Nichole Montoya and Lindsay Duran.",Find Foundry Group Colorado portfolio companies with founder details
Clarabridge,https://www.clarabridge.com,1,medium,Powers businesses with insights to deliver customer experience solutions,Find Grotech Ventures Colorado investments
ClassPass,https://www.classpass.com,4,medium,Colorado-based fitness tech company and Techstars Boulder alumni that scaled into an industry leader,Find Colorado tech startups that raised venture capital funding recently
Cleerly,https://www.cleerlyhealth.com,1,medium,"Uses AI and advanced imaging to enable personalized precision heart health diagnostics and care, focusing on cardiovascular disease prevention and management[5][1].",Find companies featured on coloradostartups.org leaderboard with founders and funding
Cloud Campaign,https://www.cloudcampaign.com,1,medium,Comprehensive marketing platform for agencies and freelancers. Colorado-based portfolio company.,Find Access Venture Partners Colorado portfolio companies
Cloutel,https://cloutel.com,1,medium,"Minority-owned technology company delivering AI & ML, cybersecurity, and IT services for healthcare, telecom, and finance sectors. Based in Centennial, Colorado[4].",Find Colorado AI and machine learning startups with funding
Cloverleaf AI,https://www.cloverleaf.ai,2,medium,Provides AI-powered media monitoring and intelligence solutions for organizations; recently raised seed funding and expanding quickly[1].,"Find Colorado startups in AI, robotics, biotech, cleantech with rapid growth and VC backing"
Codiga,https://www.codiga.io,1,medium,"Offers a coding assistant tool that helps developers find code snippets within their IDE, enhancing productivity for software engineers. Founded in 2019 in Denver by Julien Delange[11].",Find Colorado startup founders based in Colorado with company information
CoFi,https://www.cofisoftware.com,1,medium,"Offers a collaborative construction finance platform that streamlines payments and draws for contractors, owners, and lenders, increasing transparency and efficiency[3][7].",Find Blackhorn Ventures Colorado portfolio companies
ColdQuanta,https://www.coldquanta.com,1,medium,Quantum computing company developing cooling technology to study and manipulate atomic behavior. Series A funding of $32 million in November 2020.,Find Colorado DeepTech companies with Series A B C funding rounds in the last 5 years
Colexible Technologies,https://colexible.com/,1,medium,"CU Boulder spinout specializing in flexible electronics manufacturing for wearables and automotive, founded by C.J. Whelan with PI Jianliang Xiao from CU Boulder Mechanical Engineering",Find Colorado hardware and software technology companies with technical founders
Cologix,https://cologix.com,1,medium,A data center and interconnection solutions provider with a strong technical founding team and significant growth in Colorado[9][6].,Find technical founders in Colorado running high-growth startups
Colorado Earth LLC,https://www.coloradoearth.com,1,medium,Designs and manufactures locally-produced masonry blocks. Affiliation: National Renewable Energy Laboratory (NREL),Find Colorado pre-seed startups founded in 2023 2024 with angel investors
Colorado Impact Fund,https://www.coloradoimpactfund.com,6,medium,Denver-based VC firm investing in high-growth Colorado companies with scalable business models and a commitment to community impact[5].,Find venture capital firms based in Colorado and their portfolio companies
CommercialTribe,https://www.commercialtribe.com,1,medium,Sales readiness and coaching platform for enterprise sales teams[1].,Find Access Venture Partners Colorado portfolio companies
Conga,https://www.conga.com,1,medium,"Enterprise cloud computing and data company offering platform for simplifying and automating data, documents, contracts, and reporting. Established funding rounds indicate growth stage operations.",Find Colorado tech companies in early growth stage with product-market fit
Copper Door Coffee Roasters,https://www.copperdoorcoffee.com,1,medium,"Denver-based specialty coffee roaster and café operator, with 50% revenue growth since 2020[5].",Find privately held Colorado companies with rapid revenue growth since 2020
Cosmic Aerospace,https://www.cosmicaerospace.com,2,medium,"Developing all-electric regional aircraft with proprietary propulsion and airframe technologies, targeting a 24-passenger Skylark jet for service by end of decade",Find Colorado aerospace and aviation tech startups with funding
Cotopaxi,https://www.cotopaxi.com,1,medium,"Outdoor gear and apparel company focused on sustainable products and social impact, known for colorful backpacks and adventure clothing[1][2][3][5].",Find Ridgeline Ventures Colorado investments
Cottonwood Technology Fund,https://www.cottonwood.vc,1,medium,"Deeptech-focused VC investing in early-stage, high-potential startups in advanced materials, photonics, robotics, and clean energy[16].",Find Colorado VCs with investments in DeepTech and high-growth startups
Cowboy Clean Fuels,https://cowboycleanfuels.com,12,medium,Commercializes renewable natural gas production by converting agricultural waste; secured $13 million in Series B funding in July 2024[5].,Find news articles about Colorado startup funding rounds in 2024 2023 2022
Credit Pulse,https://www.creditpulse.com/,7,medium,Credit Pulse offers data-driven credit risk analytics and decisioning tools for lenders and financial institutions.,Find Colorado companies that raised Series A funding since 2020
Crisp,https://www.crispnow.com,1,medium,"Offers a platform for real-time data sharing and collaboration, serving enterprise clients; listed as a Boulder Ventures portfolio company[2].",Find Boulder Ventures Colorado portfolio companies with founders and CEOs
Crusoe Energy Systems,https://www.crusoe.ai,3,medium,"AI infrastructure company based in Colorado with a $10B valuation, focused on energy-efficient computing","Find Colorado startups in AI, robotics, biotech, cleantech with rapid growth and VC backing"
Culinary Creative Group,https://www.culinarycreativegroup.com,1,medium,"Founded in 2021, this tech-enabled hospitality group uses data and software to optimize restaurant operations and guest experiences; VC-backed[3].",Find Denver Colorado tech startups founded since 2020 with VC funding
CyberGRX,https://www.cybergrx.com,3,medium,Colorado-based cybersecurity company led by Fred Kneip,Find companies selected by Endeavor Colorado in recent years
CyberWerks,URL_NEEDED,1,medium,"Aurora, CO-based cybersecurity or technology company.",Find Aurora Colorado tech companies with funding
D3Sciences Inc.,https://www.d3sciences.com,1,medium,Empowers tissue-based diagnostics for personalized care. Affiliation: University of Arizona,Find Colorado pre-seed startups founded in 2023 2024 with angel investors
Dapix (now known as FIO Protocol),https://fioprotocol.io,1,medium,Blockchain protocol focused on usability and interoperability for digital assets[1].,Find Access Venture Partners Colorado portfolio companies
Dapple Security,https://dapplesecurity.com,3,medium,"Cybersecurity startup founded by Gadalia Montoya Weinberg O'Bryan, graduated from Techstars Boulder winter cohort (2023-2024).",Find Techstars Boulder alumni companies with venture funding
Dashamlabs,https://dashamlabs.com,1,medium,Materials and aerospace company based in India with $1.367 million in Seed funding (October 2025).,Find Colorado aerospace and aviation tech startups with funding
Datava,https://datava.com,1,medium,Colorado information technology startup with $3M funding (October 2024),Find pre-revenue Colorado startups with strong technical teams
DatAvail,https://www.datavail.com,1,medium,"Provides managed services for databases, analytics, and cloud infrastructure, serving enterprise clients; Boulder Ventures portfolio company[2].",Find Boulder Ventures Colorado portfolio companies with founders and CEOs
Datch,https://www.datch.io,1,medium,"Provides an AI-powered voice interface for industrial teams, allowing workers to capture and access operational data hands-free in real time[3][7].",Find Blackhorn Ventures Colorado portfolio companies
DaVita,https://www.davita.com,2,medium,DaVita is a healthcare company specializing in kidney care and dialysis services. Kent Thiry is the former CEO and board member[5].,Find companies selected by Endeavor Colorado with founder names and details
"Decision.ai, Inc.",https://decision.ai,1,medium,"Golden, Colorado-based fintech startup using AI for financial decision-making and analytics. Founded in 2020[5].",Find Colorado fintech startups founded since 2020
Deepwatch,https://www.deepwatch.com,1,medium,"Delivers managed security services to enterprises, specializing in cybersecurity and threat detection. Founded in 2019 and headquartered in Colorado[7].",Find Colorado startup founders based in Colorado with company information
Defense Unicorns,https://defenseunicorns.com,1,medium,"Provides open source software delivery and AI solutions for government agencies; raised Series A ($35M, 2024)[4].",Find Colorado DeepTech companies with Series A B C funding rounds in the last 5 years
Delise Automotive,https://www.deliseauto.com,2,medium,Automotive company based in United States that received Series A funding in June 2024,Find Colorado companies with Series A funding rounds in recent years
Delta-v Capital,https://www.deltavcapital.com,1,medium,"A Boulder-based growth equity firm investing in leading software and internet infrastructure companies, providing flexible capital and strategic support for scaling businesses.",Find Denver Boulder venture capital firms and their portfolio company CEOs
Dexterity,https://www.dexterity.ai,1,medium,Robotic technology company manufacturing robots with human-like dexterity for industrial use,Find Blackhorn Ventures Colorado portfolio companies
DifferentKind,https://www.differentkind.com,2,medium,"Colorado health tech company focused on mental health solutions, recently funded (Series Unknown, but in the healthcare tech sector)[1].",Find Colorado healthcare tech companies with Series A funding
Digital Fortress,https://www.digitalfortress.com,1,medium,"Delivers data center, cloud, and managed IT services; Boulder Ventures portfolio company[2].",Find Boulder Ventures Colorado portfolio companies with founders and CEOs
DigitalOcean,https://www.digitalocean.com,2,medium,"Offers cloud computing services and infrastructure for developers, focusing on simplicity and scalability for deploying and managing applications[5][9].",Find Techstars Boulder portfolio companies and their founders
DispatchHealth,https://www.dispatchhealth.com,9,medium,"Provides in-home medical care, delivering urgent and acute healthcare services directly to patients’ homes to reduce ER visits and improve outcomes[1].",Find current Endeavor Colorado entrepreneur companies and their founders
DMC Biotechnologies,https://dmcbiotechnologies.com,2,medium,Biotechnology company developing scalable fermentation-based production of chemicals; Colorado-based and recently funded[9].,Find Colorado startups that received seed funding in the last 5 years
Duality Systems,https://www.dualitysys.com,1,medium,Colorado Springs startup developing AI scheduling solutions,Find Colorado Springs startups with technical founders and investor backing
DVM Systems,https://www.dvmsystems.com,1,medium,Colorado-based software startup that raised $288K in seed funding (May 2024),Find Colorado startups that raised less than 5 million in seed funding
Dynatrace,https://www.dynatrace.com,1,medium,"Colorado tech company providing business intelligence and AI-powered automation platform for understanding complex systems, finding problems faster, and automating manual tasks.",Find Colorado tech companies in early growth stage with product-market fit
EdgeConneX,https://www.edgeconnex.com,1,medium,"Specializes in edge data center solutions for cloud, content, and network service providers; Boulder Ventures portfolio company[2].",Find Boulder Ventures Colorado portfolio companies with founders and CEOs
Edison Interactive,https://www.edisoninteractive.com,1,medium,"Cherry Creek North, Colorado software company established in 2016 by technical founders Jeremy Ostermiller and Nick Stanitz-Harper, powers digital displays across 80,000+ screens nationwide",Find Colorado hardware and software technology companies with technical founders
EforAll Colorado,https://eforall.org,1,medium,Longmont-based equity-free accelerator supporting local businesses and diverse founders with 12-week programs and mentorship[1],Find Longmont Colorado startups with rapid growth and funding rounds
Electra,https://www.electra.co,1,medium,"Energy company focused on decarbonizing industrial processes, raised $180.4M in recent funding[3].",Find Colorado startup funding announcements with investor and founder names
Electric Era,https://www.electriceratechnologies.com,1,medium,"Develops AI-driven high-power storage systems for EV fast charging stations, enabling faster and more efficient electric vehicle charging[7].",Find Blackhorn Ventures Colorado portfolio companies
Elenas,https://elenas.com,1,medium,Social commerce platform enabling individuals in Latin America to sell products through social networks; Colorado-based and recently raised seed funding[9].,Find Colorado startups that received seed funding in the last 5 years
